aniesbaswedan,yhi2e
tijabar,yhi2e
tempodotco,yhi2e
ridwankamil,fachryhmzh
aniesbaswedan,Bencok_Emak
cak_sugenk,novpuss
K1ngPurw4,RucyMuswar15
aniesbaswedan,RucyMuswar15
dirgarambe,CMEPaerunan
ridwankamil,ginachiPDnim
BawelNeverDies,babeh_stm
aniesbaswedan,BambangPeha
K1ngPurw4,lilyernaw
ridwankamil,suryafeb
K1ngPurw4,Tripl3_Prayitno
aniesbaswedan,Junotics
detikcom,endioctavia
BawelNeverDies,apuyman1
aniesbaswedan,apuyman1
isishaki,ayusuciani3
detikcom,Trueno_AE_86
podoradong,NegaraKecil
_bayangan_semar,NegaraKecil
tempodotco,beavis_30
podoradong,beavis_30
K1ngPurw4,hendy_akbar02
aniesbaswedan,hendy_akbar02
aniesbaswedan,yogipramadhan
aniesbaswedan,windinugroho1
Kanseulir,molfina14
dirgarambe,molfina14
jayakabajay,kinantisalva
podoradong,dannydhe
K1ngPurw4,dannydhe
aniesbaswedan,dannydhe
sosmedbw,echosant
CNNIndonesia,nurulkm1
vivanewscom,AkangEi
tvOneNews,AkangEi
vivanewscom,AkangEi
BNPB_Indonesia,AkangEi
kumparan,AkangEi
KemenkesRI,AkangEi
infocimahiid,AkangEi
tvOneNews,AkangEi
liputan6dotcom,AkangEi
podoradong,anFanani
ridwankamil,shnynggrn
dirgarambe,jagadiri3
ustadtengkuzul,jagadiri3
hnurwahid,RosaHerdiansyah
BuruhSiluman,stanbukucom
triwul82,the_geotimes
SalmaBrecht,Gobang09791575
SirianaGde,Fajar_RAR
podoradong,Fajar_RAR
K1ngPurw4,Fajar_RAR
aniesbaswedan,Fajar_RAR
oliviaherlinda,FahrisalA
aniesbaswedan,masmasfuri
jayakabajay,chacaica_
dirgarambe,Satrio1969
Reiza_Patters,tatargaluh77
aniesbaswedan,tatargaluh77
podoradong,agung_faysm
K1ngPurw4,agung_faysm
Berkarya_Info,agung_faysm
aniesbaswedan,agung_faysm
vctrkmng,pirrdot
K1ngPurw4,Derri_dayen
OmBrewoks3,Derri_dayen
SirianaGde,Derri_dayen
aniesbaswedan,Derri_dayen
K1ngPurw4,kopral_jon00
Jhonkosmik,kopral_jon00
ustadtengkuzul,kopral_jon00
podoradong,kopral_jon00
dirgarambe,kopral_jon00
podoradong,BundaFay2
sosmedbw,BundaFay2
Mr_703n4_______,AchmadyaniAy70
AchmadAnnama,AchmadyaniAy70
podoradong,AchmadyaniAy70
CNNIndonesia,AchmadyaniAy70
ernestprakasa,depodIGHIN
K1ngPurw4,SitiMar098
hermantoregar,SitiMar098
aniesbaswedan,yusuf_al_fatih
aniesbaswedan,MMurdial
Kanseulir,MMurdial
K1ngPurw4,yanisuparno
podoradong,yanisuparno
podoradong,ags_irwansyah
tempodotco,Yuzri_Andrean
VIVAcoid,Yuzri_Andrean
CNNIndonesia,Yuzri_Andrean
tempodotco,Yuzri_Andrean
kumparan,Yuzri_Andrean
detikcom,Yuzri_Andrean
kompascom,Yuzri_Andrean
kumparan,Yuzri_Andrean
liputan6dotcom,Yuzri_Andrean
CNNIndonesia,Yuzri_Andrean
detikcom,Yuzri_Andrean
kumparan,Yuzri_Andrean
detikcom,Yuzri_Andrean
detikcom,Yuzri_Andrean
kumparan,Yuzri_Andrean
kumparan,Yuzri_Andrean
kompascom,Yuzri_Andrean
CNNIndonesia,Yuzri_Andrean
VIVAcoid,Yuzri_Andrean
kumparan,Yuzri_Andrean
CNNIndonesia,Yuzri_Andrean
liputan6dotcom,Yuzri_Andrean
CNNIndonesia,Yuzri_Andrean
BBCIndonesia,Yuzri_Andrean
dirgarambe,evisusilawati
lekopr,evisusilawati
0O1972419,widi_kartika
Berkarya_Info,widi_kartika
podoradong,widi_kartika
ridwankamil,IndonesiaR4Y4
BuruhSiluman,yulisyazuriatni
ridwankamil,Windrayo_R
TirtoID,Windrayo_R
dirgarambe,pramayudhaamdan
setkabgoid,shilhana
aniesbaswedan,HarapanBaru16
jayakabajay,ingeeefb
rafikeey,fanialsiregar
CNNIndonesia,nadshart
